Section,Type,Path,URL,Name
Treatments,Procedure,/treatments/cosmetic-plastic-surgery-india/liposuction-cost-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india/liposuction-cost-india,"Liposuction"
Cost Comparison,Comparison,/cost-comparison/liposuction-cost-india,https://medicaltoursindia.com/cost-comparison/liposuction-cost-india,"Liposuction Cost Comparison"
Treatments,Procedure,/treatments/cosmetic-plastic-surgery-india/breast-augmentation-reduction-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india/breast-augmentation-reduction-india,"Breast Augmentation / Reduction"
Cost Comparison,Comparison,/cost-comparison/breast-augmentation-reduction-india,https://medicaltoursindia.com/cost-comparison/breast-augmentation-reduction-india,"Breast Augmentation / Reduction Cost Comparison"
Treatments,Procedure,/treatments/cosmetic-plastic-surgery-india/tummy-tuck-abdominoplasty-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india/tummy-tuck-abdominoplasty-india,"Tummy Tuck (Abdominoplasty)"
Cost Comparison,Comparison,/cost-comparison/tummy-tuck-abdominoplasty-india,https://medicaltoursindia.com/cost-comparison/tummy-tuck-abdominoplasty-india,"Tummy Tuck (Abdominoplasty) Cost Comparison"
Treatments,Procedure,/treatments/cosmetic-plastic-surgery-india/hair-transplant-cost-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india/hair-transplant-cost-india,"Hair Transplant"
Cost Comparison,Comparison,/cost-comparison/hair-transplant-cost-india,https://medicaltoursindia.com/cost-comparison/hair-transplant-cost-india,"Hair Transplant Cost Comparison"
Treatments,Procedure,/treatments/cosmetic-plastic-surgery-india/facelift-surgery-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india/facelift-surgery-india,"Facelift Surgery"
Cost Comparison,Comparison,/cost-comparison/facelift-surgery-india,https://medicaltoursindia.com/cost-comparison/facelift-surgery-india,"Facelift Surgery Cost Comparison"
Treatments,Procedure,/treatments/cosmetic-plastic-surgery-india/gynecomastia-surgery-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india/gynecomastia-surgery-india,"Gynecomastia Surgery"
Cost Comparison,Comparison,/cost-comparison/gynecomastia-surgery-india,https://medicaltoursindia.com/cost-comparison/gynecomastia-surgery-india,"Gynecomastia Surgery Cost Comparison"
Treatments,Procedure,/treatments/general-advanced-surgeries-india/bariatric-weight-loss-surgery-india,https://medicaltoursindia.com/treatments/general-advanced-surgeries-india/bariatric-weight-loss-surgery-india,"Bariatric / Weight Loss Surgery"
Cost Comparison,Comparison,/cost-comparison/bariatric-weight-loss-surgery-india,https://medicaltoursindia.com/cost-comparison/bariatric-weight-loss-surgery-india,"Bariatric / Weight Loss Surgery Cost Comparison"
Treatments,Procedure,/treatments/general-advanced-surgeries-india/gallbladder-removal-laparoscopic-india,https://medicaltoursindia.com/treatments/general-advanced-surgeries-india/gallbladder-removal-laparoscopic-india,"Gallbladder Removal (Laparoscopic)"
Cost Comparison,Comparison,/cost-comparison/gallbladder-removal-laparoscopic-india,https://medicaltoursindia.com/cost-comparison/gallbladder-removal-laparoscopic-india,"Gallbladder Removal (Laparoscopic) Cost Comparison"
Treatments,Procedure,/treatments/general-advanced-surgeries-india/kidney-transplant-india,https://medicaltoursindia.com/treatments/general-advanced-surgeries-india/kidney-transplant-india,"Kidney Transplant"
Cost Comparison,Comparison,/cost-comparison/kidney-transplant-india,https://medicaltoursindia.com/cost-comparison/kidney-transplant-india,"Kidney Transplant Cost Comparison"
Treatments,Procedure,/treatments/general-advanced-surgeries-india/liver-transplant-india,https://medicaltoursindia.com/treatments/general-advanced-surgeries-india/liver-transplant-india,"Liver Transplant"
Cost Comparison,Comparison,/cost-comparison/liver-transplant-india,https://medicaltoursindia.com/cost-comparison/liver-transplant-india,"Liver Transplant Cost Comparison"
Treatments,Procedure,/treatments/general-advanced-surgeries-india/hernia-repair-surgery-india,https://medicaltoursindia.com/treatments/general-advanced-surgeries-india/hernia-repair-surgery-india,"Hernia Repair Surgery"
